Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Gabon,GDP (current US$),6497305662.09274,7756293574.98077,9578973591.00958,10318424464.3377,12438956756.4455,15508574820.3516,12065138272.7538,14358585195.7591,18186479172.7992,17171446922.2104,17590745688.6082,18179717776.1597,14262032470.9041,14213558130.1817,0
"Gambia, The",GDP (current US$),487038821.611959,578785279.422876,624174724.414496,655068695.799848,798870875.671046,965769127.133068,900628061.631727,951804226.881426,898283477.506705,910026287.341901,898957682.737216,833240810.182065,907652509.581682,964599178.129102,0
Georgia,GDP (current US$),3991374548.50512,5125273880.74998,6410941012.59189,7745406200.85374,10172869679.7366,12795044472.7663,10766809099.0721,11638536834.4274,14434619982.2117,15846474595.773,16140047012.1438,16509305827.7171,13993546732.4726,14378016729.1587,0
Germany,GDP (current US$),2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8,0
Ghana,GDP (current US$),7632406552.83803,8881368538.07671,10731634116.7384,20409257610.4746,24758819717.7074,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,47805069494.9081,38616536131.648,37543361203.5609,42689783733.873,0
Gibraltar,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,GDP (current US$),201924270316.027,240521260988.329,247783001865.44,273317737046.795,318497936901.177,354460802548.704,330000252153.376,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,195541761243.144,192690813126.86,0
Greenland,GDP (current US$),1407866174.84099,1621822369.84861,1656172355.71712,1818759669.06572,2049139372.11823,2310743218.06163,2324870823.92882,2306502373.71313,2515245776.44495,2408666378.93828,2483396542.2075,2551126948.77506,2220380802.33059,0,0
Grenada,GDP (current US$),591018407.407407,599118592.592593,695370296.296296,698700655.925926,758683598.518519,825977888.888889,771278111.111111,771015888.888889,778648666.666667,799882148.148148,842620111.111111,911481481.481481,997007925.925926,1056188592.59259,0
Guam,GDP (current US$),3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5337000000,5531000000,5697000000,5793000000,0
Guatemala,GDP (current US$),21917706490.5299,23965275995.7214,27211377225.2715,30231249362.0604,34113107085.6085,39136893345.1501,37733994976.4137,41338595380.8159,47654841112.8523,50388454861.1111,53851058955.2999,58722323918.1604,63767597193.9175,68763255963.8943,0
Guinea,GDP (current US$),3446442218.89829,3666349049.42641,2937071767.25576,4220053411.02209,6281695536.08693,6963961726.24368,6716817571.50136,6861546075.83455,6785188889.09399,7387103675.30283,8376667793.25478,8791353804.84288,8767143622.83101,8200248003.02206,0
Guinea-Bissau,GDP (current US$),476388260.639232,531109356.165462,586791883.717707,591829908.426264,695606288.605845,864136712.986648,825828703.628208,850633309.814482,1099385895.08056,989875559.094599,1046117071.03831,1055186196.27993,1036130506.53639,1164944509.94419,0
Guyana,GDP (current US$),741929342.788749,785918769.587635,824880550.343965,1458449453.19951,1740334781.83731,1922598121.23066,2061323853.88576,2273225041.96217,2576024115.57832,2861562265.88301,2987684170.24434,3077643313.70623,3197225181.59806,3502397094.43099,0
Haiti,GDP (current US$),2960306120.93557,3537721020.41158,4310356252.83669,4756204069.61876,5885321655.91684,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452509315.87722,8776360623.29898,8724656126.49849,8022638721.92013,0
Heavily indebted poor countries (HIPC),GDP (current US$),182909315345.596,210715003171.706,243039696796.659,291439445833.395,347724979758.612,419658073051.163,423821062294.997,467851910947.034,522235870418.369,562429100212.344,610041631803.768,647799966373.646,638732542973.423,648289348137.032,0
High income,GDP (current US$),31923065054386.2,35532173604878.7,37574855319061.9,39654700828655.5,43338243118132.2,46030397500591,43140742229258.8,45206818210523.2,48779671089397.1,48814556726132.5,49346301570030.6,50362403986688.1,47577512619183.3,48557463061833.1,0
